作品,人物,PageRank,介数中心性,度中心性,接近中心性
呐喊,黑狗,0.03210690732384591,0.0023228803716608595,0.047619047619047616,0.05357142857142857
呐喊,陈独秀,0.02287700637613907,0.0,0.047619047619047616,0.05357142857142857
呐喊,罗马字母,0.02287700637613907,0.0,0.047619047619047616,0.05357142857142857
呐喊,子文,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,若敖氏,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
三闲集,郁达夫,0.00462024566743163,0.0,0.011494252873563218,0.09649826249665866
三闲集,鲁迅,0.0617441042254762,0.04383854584335739,0.16091954022988506,0.1659770114942529
三闲集,叶灵凤,0.016582629247985887,0.0002673082063619353,0.022988505747126436,0.022988505747126436
三闲集,潘汉年,0.008754139921461599,0.0,0.011494252873563218,0.01532567049808429
三闲集,华盖,0.006078095773874719,0.0,0.011494252873563218,0.09649826249665866
三闲集,戈壁,0.008754139921461599,0.0,0.011494252873563218,0.01532567049808429
三闲集,明白,0.016582629247985887,0.0002673082063619353,0.022988505747126436,0.022988505747126436
三闲集,老先生,0.008754139921461599,0.0,0.011494252873563218,0.01532567049808429
三闲集,白白,0.008754139921461599,0.0,0.011494252873563218,0.01532567049808429
三闲集,陈西滢,0.011440859806579861,0.0,0.022988505747126436,0.10120549481356883
三闲集,西滢,0.017653365209444032,0.0048115477145148355,0.034482758620689655,0.10373563218390805
三闲集,常燕生,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,燕生,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,权威,0.00462024566743163,0.0,0.011494252873563218,0.09649826249665866
三闲集,孙伏园,0.016294986760364415,0.0,0.022988505747126436,0.10373563218390805
三闲集,伏园,0.021034806214282067,0.0090884790163058,0.034482758620689655,0.10919540229885058
三闲集,小峰,0.01007525041069412,0.0048115477145148355,0.022988505747126436,0.07684120902511708
三闲集,古玄,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,古玄同,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,徐志摩,0.014473567334327135,0.0021384656508954825,0.034482758620689655,0.04597701149425287
三闲集,陈源,0.011356947451523124,0.0013365410318096765,0.022988505747126436,0.034482758620689655
三闲集,涵庐,0.006531251404255773,0.0,0.011494252873563218,0.02434077079107505
三闲集,乔治,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,格罗斯,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,许广平,0.006078095773874719,0.0,0.011494252873563218,0.09649826249665866
三闲集,张竞生,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,美的,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,李小峰,0.00684293273318623,0.0,0.011494252873563218,0.05763090676883781
三闲集,卢布,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,左翼,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,成仿吾,0.017429813249774752,0.009355787222667736,0.034482758620689655,0.10639552018862364
三闲集,郭沫若,0.004996833319248128,0.0,0.011494252873563218,0.07279693486590039
三闲集,蒋光,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,蒋光慈,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,梁实秋,0.009647511236387843,0.0,0.022988505747126436,0.037617554858934164
三闲集,胡适,0.022600714965760306,0.0024057738572574178,0.04597701149425287,0.04597701149425287
三闲集,陶然,0.006078095773874719,0.0,0.011494252873563218,0.09649826249665866
三闲集,景宋,0.00462024566743163,0.0,0.011494252873563218,0.09649826249665866
三闲集,李初梨,0.006642977251599466,0.0,0.011494252873563218,0.07279693486590039
三闲集,甘人君,0.00462024566743163,0.0,0.011494252873563218,0.09649826249665866
三闲集,马克,0.02702061501668495,0.0016038492381716118,0.04597701149425287,0.04597701149425287
三闲集,马克思,0.010542770448128175,0.0,0.011494252873563218,0.026272577996715927
三闲集,黑格尔,0.005239835451978543,0.0,0.011494252873563218,0.026272577996715927
三闲集,陈涉,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,陈胜,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,邹容,0.021801622132335413,0.0008019246190858059,0.034482758620689655,0.034482758620689655
三闲集,马前卒,0.007884307774070013,0.0,0.011494252873563218,0.020689655172413793
三闲集,邹容著,0.007884307774070013,0.0,0.011494252873563218,0.020689655172413793
三闲集,章太炎,0.007884307774070013,0.0,0.011494252873563218,0.020689655172413793
三闲集,顾颉刚,0.00462024566743163,0.0,0.011494252873563218,0.09649826249665866
三闲集,晓岚,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,纪晓岚,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,胡适之,0.00938879295061843,0.0,0.011494252873563218,0.029556650246305417
三闲集,马克斯,0.008775125449411631,0.0,0.011494252873563218,0.026272577996715927
三闲集,汉医,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,金泽,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,多纪氏,0.01568860244233379,0.00013365410318096765,0.034482758620689655,0.034482758620689655
三闲集,纪氏,0.01568860244233379,0.00013365410318096765,0.034482758620689655,0.034482758620689655
三闲集,梦香,0.007038670284938944,0.00013365410318096765,0.022988505747126436,0.02586206896551724
三闲集,陈余,0.007038670284938944,0.00013365410318096765,0.022988505747126436,0.02586206896551724
三闲集,仲景,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,仲景氏,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,契诃夫,0.011363636363636364,0.0,0.022988505747126436,0.022988505747126436
三闲集,罗喀绥,0.011363636363636364,0.0,0.022988505747126436,0.022988505747126436
三闲集,安特,0.011363636363636364,0.0,0.022988505747126436,0.022988505747126436
三闲集,杜威,0.005546669202581942,0.0,0.011494252873563218,0.029556650246305417
三闲集,和西滢,0.00716103676586404,0.0,0.011494252873563218,0.07154181529924693
三闲集,敬文,0.00462024566743163,0.0,0.011494252873563218,0.09649826249665866
三闲集,列宁,0.005239835451978543,0.0,0.011494252873563218,0.026272577996715927
三闲集,公孙康,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,袁尚,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,斯坦因,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,霍善,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,文宣,0.01207948082952268,0.0008019246190858059,0.022988505747126436,0.03065134099616858
三闲集,文宣王,0.0068383251643093865,0.0,0.011494252873563218,0.020434227330779053
三闲集,田恒,0.016582629247985887,0.0002673082063619353,0.022988505747126436,0.022988505747126436
三闲集,齐田恒,0.008754139921461599,0.0,0.011494252873563218,0.01532567049808429
三闲集,南子,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,子见南子,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,孔丘,0.016102445637438473,0.0010692328254477412,0.034482758620689655,0.0367816091954023
三闲集,陈恒,0.008754139921461599,0.0,0.011494252873563218,0.01532567049808429
三闲集,孔子,0.010898965093455637,0.0,0.022988505747126436,0.026272577996715927
三闲集,鲁定公,0.010898965093455637,0.0,0.022988505747126436,0.026272577996715927
三闲集,孟子,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,滕文公,0.011363636363636364,0.0,0.011494252873563218,0.011494252873563218
三闲集,大侠,0.011363636363636364,0.0,0.022988505747126436,0.022988505747126436
三闲集,权贵,0.011363636363636364,0.0,0.022988505747126436,0.022988505747126436
三闲集,游侠,0.011363636363636364,0.0,0.022988505747126436,0.022988505747126436
二心集,傅彦长,0.0220616261305542,0.0008207934336525308,0.03488372093023256,0.03488372093023256
二心集,傅彦长君,0.007079272665490258,0.0,0.011627906976744186,0.020930232558139535
二心集,史传,0.007079272665490258,0.0,0.011627906976744186,0.020930232558139535
二心集,元帅,0.008852409559315473,0.0,0.011627906976744186,0.015503875968992248
二心集,成吉思,0.016777939502058716,0.00027359781121751026,0.023255813953488372,0.023255813953488372
二心集,孙子,0.011494252873563218,0.0,0.011627906976744186,0.011627906976744186
二心集,西征,0.011494252873563218,0.0,0.011627906976744186,0.011627906976744186
二心集,成吉思汗,0.008852409559315473,0.0,0.011627906976744186,0.015503875968992248
二心集,友谊,0.010278063884971671,0.0,0.011627906976744186,0.015503875968992248
二心集,罗斯,0.016777939502058716,0.00027359781121751026,0.023255813953488372,0.023255813953488372
二心集,张大,0.007426755233659274,0.0,0.011627906976744186,0.015503875968992248
二心集,朱应鹏,0.009756840032718145,0.0,0.011627906976744186,0.020930232558139535
二心集,宣言,0.003106593508976892,0.0,0.011627906976744186,0.08353381448810479
二心集,马克,0.05123224546385765,0.0387140902872777,0.13953488372093023,0.1153562200073828
二心集,马克思,0.010436779961096189,0.0,0.023255813953488372,0.08450513791238508
二心集,惠勒,0.011494252873563218,0.0,0.011627906976744186,0.011627906976744186
二心集,荷惠勒,0.011494252873563218,0.0,0.011627906976744186,0.011627906976744186
二心集,焦先,0.011494252873563218,0.0,0.011627906976744186,0.011627906976744186
二心集,牛庐,0.011494252873563218,0.0,0.011627906976744186,0.011627906976744186
二心集,卢布,0.00985067310902602,0.006566347469220246,0.023255813953488372,0.06856077226853884
二心集,左翼,0.014599735113355492,0.012585499316005472,0.03488372093023256,0.0865171650055371
