work,character,sentiment
而已集,康居贫,negative
而已集,康谓,negative
而已集,左徒,positive
而已集,魏常通,positive
而已集,但宜敬,neutral
而已集,曲直,neutral
而已集,延祖,negative
而已集,嵇绍传,negative
而已集,彭泽令,positive
而已集,归隐,positive
而已集,陶渊明,positive
而已集,梁代钟嵘,negative
而已集,斯里,negative
而已集,言辞,negative
而已集,相贻,negative
而已集,檀道鸾,negative
而已集,续晋阳,negative
而已集,王弘,negative
而已集,弘语,negative
而已集,汤汉,negative
而已集,张伟,negative
而已集,陶靖节,negative
而已集,春秋战国,negative
而已集,从先秦,positive
而已集,古圣贤,negative
而已集,祖先,positive
而已集,陈旧,negative
而已集,陈腐,neutral
而已集,美的,neutral
而已集,陆军军官,negative
而已集,叶剑英,positive
而已集,恽代英,positive
而已集,萧楚女,positive
而已集,斯洛伐,positive
而已集,支奇,positive
而已集,布衫,negative
而已集,尼姑,negative
而已集,汪洋,negative
而已集,伦理道德,neutral
而已集,章廷谦,positive
而已集,沛公,negative
而已集,关者王,negative
而已集,余悉,negative
而已集,刑法志,negative
而已集,萧何,negative
而已集,陈迹,negative
而已集,盖殊,negative
而已集,日臻,negative
而已集,明崇祯,negative
而已集,刘斧,negative
而已集,平正,neutral
而已集,思之,negative
而已集,宋庄,positive
而已集,季裕著,positive
而已集,靖康,positive
而已集,卓巢温,negative
而已集,言夷狄,negative
而已集,归德,negative
而已集,阙里,negative
而已集,灵光,positive
而已集,诸君子,neutral
而已集,孔殷,negative
而已集,老师宿儒,neutral
而已集,何哉,negative
而已集,咸知,positive
而已集,谢启,positive
而已集,井然,negative
而已集,吉祥止止,negative
而已集,巧中生,negative
而已集,易臻斯,negative
而已集,明书,negative
而已集,戴名世,negative
而已集,吕留良,negative
而已集,曾静,negative
而已集,胡中藻,negative
而已集,徐述夔,negative
而已集,黄休,neutral
而已集,夏敬观,neutral
而已集,孤山,negative
而已集,越轨,positive
而已集,江孔殷,negative
而已集,李福林,negative
而已集,黎元洪,negative
而已集,饶之,positive
而已集,于饶,positive
而已集,边的,negative
而已集,柯罗量,negative
而已集,王爷,neutral
而已集,贺表,negative
而已集,黄榜,negative
而已集,贺正,negative
而已集,朱谕,negative
而已集,同懋,negative
而已集,汉军旗,negative
而已集,静安,negative
而已集,宋元,negative
而已集,关系密切,negative
而已集,清废帝,negative
而已集,吴县人,negative
而已集,黄体芳,negative
而已集,缪荃孙,negative
而已集,谭嗣同,negative
而已集,傅增湘,negative
而已集,封建王朝,negative
而已集,史臣,negative
而已集,袁希涛,positive
而已集,宝山,positive
而已集,蒋维乔,negative
而已集,武进,negative
而已集,郎中,negative
而已集,刘体乾,negative
而已集,刘于,negative
而已集,孟蜀,negative
而已集,齐威王,negative
而已集,诸臣辑,negative
而已集,孟昶,negative
而已集,毋昭裔,negative
而已集,伏园,negative
而已集,包里,negative
而已集,白塔寺,negative
而已集,杨桃,negative
而已集,何畏,negative
而已集,红胡子,negative
而已集,梁式,negative
而已集,斯愈,positive
而已集,英勇,negative
而已集,康陶,negative
而已集,德皇威,positive
而已集,德军,positive
而已集,王党,negative
而已集,成仁,neutral
而已集,白居易,negative
而已集,欧阳修,negative
而已集,归田录,negative
而已集,晏元献公,negative
而已集,玉凉,negative
而已集,叶赛宁,negative
而已集,田园生活,negative
而已集,梁先生,negative
而已集,斯人也,negative
而已集,矫正,negative
而已集,简言之,negative
而已集,智慧,negative
而已集,阿诺德,negative
而已集,卢骚,negative
而已集,阿通,negative
而已集,小峰,negative
而已集,连劝,negative
而已集,岑寂,negative
而已集,钟敬文,negative
而已集,师范,negative
而已集,子谓,negative
而已集,孙文,positive
而已集,吐绶鸡,negative
而已集,常扩,negative
而已集,老太婆,neutral
而已集,韩秉猷,positive
而已集,白云山,negative
而已集,清宣统,negative
而已集,赵声,negative
而已集,黄花岗,neutral
而已集,陆尔奎,negative
而已集,玄虚,neutral
而已集,敬谨,positive
而已集,陶元庆氏,negative
而已集,米突,negative
而已集,章帝建,negative
而已集,张秀哲君,negative
而已集,张君,negative
而已集,毋忘,negative
而已集,郎著,negative
而已集,屠伯,negative
而已集,白石,positive
而已集,阿阿,positive
而已集,邓泽如,negative
而已集,石沉大海,negative
而已集,莫之,negative
而已集,周密,neutral
而已集,华尔,negative
而已集,陈年,negative
而已集,章锡琛,negative
而已集,任国桢,negative
而已集,妙喻,negative
而已集,萧伯纳,negative
而已集,本华尔,negative
而已集,顾惜,neutral
而已集,麻木,negative
而已集,墨斯科,negative
而已集,普天同,positive
而已集,孙子,neutral
而已集,老法子,neutral
而已集,徐州人,neutral
而已集,武成,positive
而已集,孔颖达,negative
而已集,边远,negative
而已集,左传,negative
而已集,许广平,negative
而已集,春秋笔法,neutral
而已集,陈万里,neutral
而已集,黄坚,neutral
而已集,陈独秀,neutral
而已集,仲甫,neutral
而已集,怀宁,neutral
而已集,封信,negative
而已集,邵飘萍,negative
而已集,苏曼殊,neutral
而已集,小桥,negative
而已集,谈天,negative
而已集,矫诏,positive
而已集,巴结,positive
而已集,袁公,positive
而已集,爱国志士,negative
而已集,光荣,positive
而已集,吴公,positive
而已集,林如稷,negative
而已集,冯至,negative
而已集,陈炜谟,negative
而已集,陈翔鹤,negative
而已集,吴昌龄,negative
而已集,初杨,negative
而已集,韦丛,negative
而已集,李小峰,negative
而已集,洪宪,negative
而已集,戈公振,positive
而已集,梁士诒,positive
而已集,袁乃宽,positive
而已集,邵阳,negative
而已集,封禅,negative
而已集,龙垂胡,negative
而已集,龙乃,negative
而已集,帝王,positive
而已集,高升,negative
而已集,牛耳,negative
而已集,和西滢,positive
而已集,太长久,negative
而已集,郑重声明,positive
而已集,凌叔华,negative
而已集,孟轲,negative
而已集,智愚贤,positive
而已集,花翎,negative
而已集,何代,positive
而已集,杰士者,positive
而已集,杰士,neutral
而已集,孟子曰,negative
而已集,莫良,negative
而已集,霍顿,negative
而已集,童话集,negative
而已集,嘉猷,negative
而已集,石斋,negative
而已集,罗隆基,positive
而已集,王世杰,neutral
