work,character,position,relative_position,sentiment_score,smoothed_sentiment_score,sentiment_words_count
而已集,曹操,38,15.767634854771783,5.208333333333334,6.3002136752136755,8
而已集,曹操,39,16.182572614107883,8.692307692307692,7.522435897435898,13
而已集,曹操,43,17.842323651452283,8.666666666666668,8.679487179487179,2
而已集,阮籍,15,6.224066390041494,6.319444444444444,5.159722222222221,24
而已集,阮籍,16,6.639004149377594,4.0,5.410185185185185,4
而已集,阮籍,17,7.053941908713693,5.9111111111111105,4.948148148148149,15
而已集,阮籍,18,7.468879668049793,4.933333333333333,6.200673400673401,20
而已集,阮籍,19,7.883817427385892,7.757575757575759,4.2303030303030305,11
而已集,阮籍,20,8.29875518672199,0.0,4.130303030303031,1
而已集,阮籍,21,8.71369294605809,4.633333333333334,3.4253968253968257,30
而已集,阮籍,23,9.54356846473029,5.642857142857143,5.804184704184704,14
而已集,阮籍,24,9.95850622406639,7.136363636363637,6.917147667147667,22
而已集,阮籍,25,10.37344398340249,7.972222222222221,6.010554260554261,12
而已集,阮籍,27,11.20331950207469,2.923076923076923,5.0613960113960115,13
而已集,阮籍,45,18.672199170124482,4.28888888888889,4.258689458689459,15
而已集,阮籍,46,19.08713692946058,5.564102564102565,4.950997150997151,13
而已集,阮籍,47,19.502074688796682,5.0,6.688034188034188,10
而已集,阮籍,50,20.74688796680498,9.5,7.338383838383838,6
而已集,阮籍,51,21.16182572614108,7.515151515151515,8.507575757575758,11
而已集,嵇康,15,6.224066390041494,6.319444444444444,5.159722222222221,24
而已集,嵇康,16,6.639004149377594,4.0,5.084259259259259,4
而已集,嵇康,18,7.468879668049793,4.933333333333333,5.5636363636363635,20
而已集,嵇康,19,7.883817427385892,7.757575757575759,5.774747474747475,11
而已集,嵇康,21,8.71369294605809,4.633333333333334,6.011255411255412,30
而已集,嵇康,23,9.54356846473029,5.642857142857143,5.804184704184704,14
而已集,嵇康,24,9.95850622406639,7.136363636363637,6.917147667147667,22
而已集,嵇康,25,10.37344398340249,7.972222222222221,6.010554260554261,12
而已集,嵇康,27,11.20331950207469,2.923076923076923,5.0613960113960115,13
而已集,嵇康,45,18.672199170124482,4.28888888888889,4.070655270655271,15
而已集,嵇康,47,19.502074688796682,5.0,5.162962962962964,10
而已集,嵇康,48,19.91701244813278,6.2,6.143589743589743,5
而已集,嵇康,49,20.33195020746888,7.230769230769231,6.976923076923076,13
而已集,嵇康,52,21.57676348547718,7.5,6.728438228438228,4
而已集,嵇康,53,21.991701244813278,5.454545454545454,6.477272727272727,11
而已集,曹丕,5,2.0746887966804977,4.647058823529412,4.759426847662142,17
而已集,曹丕,6,2.4896265560165975,4.871794871794871,4.802580861404391,13
而已集,曹丕,7,2.904564315352697,4.888888888888889,5.7257834757834765,9
而已集,曹丕,8,3.319502074688797,7.416666666666667,6.524074074074075,12
而已集,曹丕,9,3.7344398340248963,7.266666666666667,7.477777777777778,15
而已集,曹丕,30,12.448132780082988,7.75,7.783333333333334,12
而已集,曹丕,34,14.107883817427386,8.333333333333334,6.652777777777779,3
而已集,曹丕,35,14.522821576763487,3.875,5.958333333333333,8
而已集,曹丕,36,14.937759336099585,5.666666666666667,4.847222222222222,12
而已集,曹丕,37,15.352697095435685,5.0,5.291666666666667,0
而已集,曹丕,38,15.767634854771783,5.208333333333334,5.104166666666667,8
而已集,OVERALL,1,0.4149377593360996,5.2,5.116666666666667,5
而已集,OVERALL,2,0.8298755186721992,5.033333333333333,5.022222222222222,20
而已集,OVERALL,3,1.2448132780082988,4.833333333333333,4.8700854700854705,16
而已集,OVERALL,4,1.6597510373443984,4.743589743589744,4.74132730015083,13
而已集,OVERALL,5,2.0746887966804977,4.647058823529412,4.754147812971342,17
而已集,OVERALL,6,2.4896265560165975,4.871794871794871,4.802580861404391,13
而已集,OVERALL,7,2.904564315352697,4.888888888888889,5.7257834757834765,9
而已集,OVERALL,8,3.319502074688797,7.416666666666667,6.524074074074075,12
而已集,OVERALL,9,3.7344398340248963,7.266666666666667,8.084920634920636,15
而已集,OVERALL,10,4.149377593360995,9.571428571428571,8.057142857142857,7
而已集,OVERALL,11,4.564315352697095,7.333333333333333,6.417989417989418,9
而已集,OVERALL,12,4.979253112033195,2.3492063492063493,5.449735449735449,21
而已集,OVERALL,13,5.394190871369295,6.666666666666666,4.458282458282458,11
而已集,OVERALL,14,5.809128630705394,4.358974358974359,5.781695156695156,13
而已集,OVERALL,15,6.224066390041494,6.319444444444444,4.892806267806267,24
而已集,OVERALL,16,6.639004149377594,4.0,5.410185185185185,4
而已集,OVERALL,17,7.053941908713693,5.9111111111111105,4.948148148148149,15
而已集,OVERALL,18,7.468879668049793,4.933333333333333,6.200673400673401,20
而已集,OVERALL,19,7.883817427385892,7.757575757575759,4.2303030303030305,11
而已集,OVERALL,20,8.29875518672199,0.0,4.130303030303031,1
而已集,OVERALL,21,8.71369294605809,4.633333333333334,4.011111111111112,30
而已集,OVERALL,22,9.12863070539419,7.4,5.8920634920634924,5
而已集,OVERALL,23,9.54356846473029,5.642857142857143,6.726406926406927,14
而已集,OVERALL,24,9.95850622406639,7.136363636363637,6.917147667147667,22
而已集,OVERALL,25,10.37344398340249,7.972222222222221,5.508417508417509,12
而已集,OVERALL,26,10.78838174273859,1.4166666666666665,4.103988603988603,16
而已集,OVERALL,27,11.20331950207469,2.923076923076923,2.853988603988604,13
而已集,OVERALL,28,11.618257261410788,4.222222222222222,4.215099715099715,9
而已集,OVERALL,29,12.033195020746888,5.5,5.8240740740740735,10
而已集,OVERALL,30,12.448132780082988,7.75,7.317901234567901,12
而已集,OVERALL,31,12.863070539419086,8.703703703703704,7.734567901234567,9
而已集,OVERALL,32,13.278008298755188,6.75,7.188271604938272,4
而已集,OVERALL,33,13.692946058091287,6.111111111111111,7.064814814814814,9
而已集,OVERALL,34,14.107883817427386,8.333333333333334,6.106481481481481,3
而已集,OVERALL,35,14.522821576763487,3.875,5.958333333333333,8
而已集,OVERALL,36,14.937759336099585,5.666666666666667,4.847222222222222,12
而已集,OVERALL,37,15.352697095435685,5.0,5.291666666666667,0
而已集,OVERALL,38,15.767634854771783,5.208333333333334,6.3002136752136755,8
而已集,OVERALL,39,16.182572614107883,8.692307692307692,6.670584045584046,13
而已集,OVERALL,40,16.59751037344398,6.111111111111112,6.754985754985756,6
而已集,OVERALL,41,17.012448132780083,5.461538461538462,5.351377018043685,13
而已集,OVERALL,42,17.42738589211618,4.481481481481482,6.203228869895537,9
而已集,OVERALL,43,17.842323651452283,8.666666666666668,5.811287477954146,2
而已集,OVERALL,44,18.25726141078838,4.2857142857142865,5.747089947089948,7
而已集,OVERALL,45,18.672199170124482,4.28888888888889,4.712901912901914,15
而已集,OVERALL,46,19.08713692946058,5.564102564102565,4.950997150997151,13
而已集,OVERALL,47,19.502074688796682,5.0,5.588034188034189,10
而已集,OVERALL,48,19.91701244813278,6.2,6.143589743589743,5
而已集,OVERALL,49,20.33195020746888,7.230769230769231,7.643589743589743,13
而已集,OVERALL,50,20.74688796680498,9.5,8.081973581973582,6
而已集,OVERALL,51,21.16182572614108,7.515151515151515,8.171717171717171,11
而已集,OVERALL,52,21.57676348547718,7.5,6.823232323232323,4
而已集,OVERALL,53,21.991701244813278,5.454545454545454,7.151515151515151,11
而已集,OVERALL,54,22.40663900414938,8.5,5.794372294372294,6
而已集,OVERALL,55,22.821576763485478,3.4285714285714284,5.226190476190476,7
而已集,OVERALL,56,23.236514522821576,3.75,3.865079365079365,16
而已集,OVERALL,57,23.651452282157674,4.416666666666666,3.865079365079365,8
而已集,OVERALL,58,24.066390041493776,3.4285714285714284,3.9960317460317456,28
而已集,OVERALL,59,24.481327800829874,4.142857142857143,3.18037518037518,7
